# Busqueda lineal. Tiempos en microsegundos
# Talla       Mejor       Peor     Promedio
#------------------------------------------
   10000      0.069      3.141      2.953
   20000      0.056     17.124      4.507
   30000      0.056     26.583      6.525
   40000      0.054     34.781      9.170
   50000      0.055     41.998     11.570
   60000      0.054     50.842     13.533
   70000      0.056     58.608     15.786
   80000      0.054     66.514     18.131
   90000      0.053     75.010     19.958
  100000      0.058     82.563     22.494
